Trailer,NAcc_ISC,AIns_ISC,MPFC_ISC,NAcc_LH_ISC,AIns_LH_ISC,MPFC_LH_ISC,NAcc_DH_ISC,AIns_DH_ISC,MPFC_DH_ISC,NAcc_LC_ISC,AIns_LC_ISC,MPFC_LC_ISC,NAcc_DC_ISC,AIns_DC_ISC,MPFC_DC_ISC,NAcc_MPFC_FC,AIns_MPFC_FC,NAcc_AIns_FC,NAcc_MPFC_ISFC,AIns_MPFC_ISFC,NAcc_AIns_ISFC,AIns_NAcc_ISFC,MPFC_NAcc_ISFC,MPFC_AIns_ISFC
rh3,0.08279703326658618,0.5385097340728353,0.20226302702763752,-0.002283744547560695,1.0471364653659012,0.6834659776862769,0.28708332288465366,-0.007501586056610777,-0.16502315272247278,0.3432100635618285,0.02611421161056042,-0.07424423938400182,-0.018656960516940473,0.9227908231701614,0.530698280740213,0.8219281824880671,0.7013444757615106,0.1982649882913146,0.3597311179730637,-0.04963413001438683,0.18118660951640142,-0.4367289158764001,-0.2812260666877301,0.2209272674989142
rc11,-0.19604279621848558,0.1665358591450683,-0.19394783558105133,-0.45270037195362306,-0.1065590005778088,-0.18345212249467596,0.4172985001720711,0.29822541768126853,-0.0543110199293311,0.26708086320640906,0.2632568690067822,-0.11526289217168433,-0.38635368307330664,-0.08118766048706486,-0.10484654480075026,0.5047832383011978,0.8063224395029585,0.012698261696620848,-0.0490174561887597,-0.06081642017071925,-0.03512042573832142,-0.04085077862726993,0.005996195763606891,-0.0030106315146300605
uc1,0.21181622504124822,0.13403333207952317,0.31632654369561397,0.09573374624196866,0.3021304887529194,0.15834827589393877,0.1667067288847094,-0.21550698841836483,0.21246929547958862,0.25055894127542666,-0.3073270284847805,0.28170295131249956,-0.01671700668892853,0.3900323956081741,0.03927876567556373,0.20514473001422243,0.3984993395316008,-0.14156212222814857,0.6852503821231835,0.087699185036514,0.039428570941320955,0.5072844559497592,0.4944202463137039,0.30390454294842195
rh11,0.11957719856925901,-0.17865987088487262,-0.19701834132329302,0.7774512322064459,0.08652059885707107,-0.1930316660869679,-0.5119661508677298,-0.2959966244816089,-0.045111655722015545,-0.3963686743689902,-0.2150437258162569,0.07324268714939533,0.8839781151431885,-0.0005720444624137689,-0.3218536793078818,0.6008313684475042,0.9383864260528029,0.5925829260725215,-0.5045400774324681,-0.025253549654231863,0.09710035641867973,0.2980829297676289,0.15826066909708936,0.0025051195407450664
rc12,-0.13799415008239843,0.25338069671116886,0.22233699566152693,0.11781363785204019,0.205740064292594,0.12020371283449195,-0.3717986760179238,0.2894375608569057,0.13462506130908744,-0.34016913527095977,0.20987557363909493,0.11290333992362986,0.14337486962974672,0.24358552284572632,0.14403611927189383,-0.06568988358612796,0.800721464588253,0.07458914658248796,-0.35937961518398176,-0.0652102515834664,-0.43549650308740695,0.19839991261676532,0.34287712736498105,0.20859259491306764
rc5,-0.16148478626826474,0.31198041876068733,0.3619590720702318,-0.2407228877345333,0.5569843016943348,0.11980949100181312,-0.11722579096570011,0.07058200783466352,0.22763394075726817,-0.15335714047839238,-0.011129512385064513,0.08431648599561646,-0.18655592156262937,0.594272315406575,0.2308104142909746,0.7965853813462436,0.5563630083689255,0.23878129319555078,0.22219170118417256,-0.10011886913460405,-0.000407185960300702,0.8157630263492827,0.3122170237101066,0.1969862693737756
rc3,0.5113970181093102,0.06627994687284398,0.18427792870605894,0.2916059797129649,0.3079612965172519,-0.17164345156367647,0.4659084047771249,-0.08993162881896154,0.5221865079111914,0.5187223562307874,-0.059639339378710396,0.395652561511988,0.30710909172513745,0.28542101201842945,-0.11163073420376951,0.6485281932525839,0.08243271152715076,0.24483875543215738,0.5570216411752239,0.31551483488923654,0.2886663129785691,0.38810766166685445,0.24219103236479034,0.22116369042642145
rh12,-0.06085036915804945,0.08536409543965563,-0.22821070960365225,0.04460543738411521,0.3726807696250848,-0.0739840458026644,-0.044488190413881704,-0.17883694980012932,-0.1968844675840678,-0.09642063188722895,-0.19126356535509853,-0.16085148525336435,0.09629694717423923,0.38097877193588875,-0.09405469388633399,0.6204489755643516,0.37010016500839893,0.0011145493040757286,0.17689292727475867,-0.060037216596415977,-0.1984285093548692,-0.23908483659367027,-0.40010375654765173,-0.3290948148023651
rc1,0.12029141775826632,0.3076890962425393,0.4285800686722544,-0.25783055499541857,0.34487923776399704,0.1319354390111458,0.19548241992305962,0.06099893100662965,0.3126029047572715,0.10167428534339565,0.09621195003388684,0.42532137854979546,-0.13641394269591833,0.3225267132691531,-0.033951123895734764,0.03372944714997272,0.41744844815701204,-0.001588987588142969,0.17030213075146744,0.5013271982089547,-0.07204121197966229,-0.5015643411152326,-0.33182376128850183,0.37967902617438903
rh7,0.4507400731342492,-0.21086983043556076,-0.3120980636802829,0.2884985677326215,-0.3746635279547644,-0.44324734109710173,0.09609362512567705,-0.03793299445706287,-0.0771019437677615,0.1274127369716272,-0.16520899724494,-0.13531612437633517,0.23994558264744412,-0.2505007450415598,-0.40542173457251995,0.8044608220707865,1.0798857171483882,0.62445866046251,-0.06889539878668685,-0.10652159532369744,-0.2631626545595987,-0.17510524335202352,-0.09771692810561519,-0.3493419382996783
rc8,0.018580739437901183,0.2190383966564617,-0.37594051927132477,-0.059812065363188685,0.048849505873010936,-0.28780929072605094,0.17330853809865587,0.2911769988981118,-0.240467495890719,0.18361448757321205,0.2146022210797918,-0.3715113406373516,-0.07855640858743476,0.16458648132126286,-0.21251132535141468,0.36909847289447634,0.43971988308208526,0.5730802046244173,0.027361073060089905,0.20102637747321145,0.09444314889654691,0.24771596409684998,-0.7380915588806358,-0.13678383104776867
uc3,0.05448991265459025,-0.17970754218575705,0.07560008425456347,-0.16945733744783054,-0.2885353962040462,0.01545527813632131,-0.07212644244560461,-0.1025868234442265,0.012469958191242903,0.0025282414819305446,-0.08251730508269457,0.04722053282865765,-0.344647409732558,-0.30789319663007597,-0.038053746450740465,0.712265896868678,0.3184758652175997,0.03176549859703185,0.1416747118102841,-0.08600854955626737,0.23672634776835025,-0.12542635613413555,0.052186657380231885,-0.07614097267960512
rh10,-0.09872587099654362,-0.1752216099748027,-0.4916909021237687,-0.4521990186588768,-0.26918291042735604,-0.25857280205488514,0.2007112861833898,0.04068528970389082,-0.3348210525381563,0.12269111393840035,0.046073857432416626,-0.3683491869769939,-0.4334840694824256,-0.28300329804630897,-0.20913694378507836,0.047981205978662504,0.7007110783755689,0.19475515003150615,-0.1234753139196097,-0.1725571423083604,0.03740765613070688,-0.8049810646266701,-0.5035134131104375,-0.49579346941238694
rc4,0.2853130310802659,-0.059133109109513304,0.20450309385046503,-0.0814484189496588,-0.0992648426883387,-0.07658433814394147,0.5186083228048718,-0.10218905986209556,0.3058985244320868,0.4453476699841543,0.012291915308517701,0.3942897034610227,-0.017950890905909882,-0.2326930891899243,-0.17905227993925774,0.14572736467702677,0.4788057070622739,0.47668795961468524,0.6702702699141162,0.1678422456145008,0.26457036670591827,0.3889887135724729,-0.2568135394443724,0.004584980233527303
rh4,0.212948397315229,-0.13718018753511838,0.04772777082217495,0.0021274161238525303,-0.09022125925635233,0.19506546777246894,0.21546568783300216,-0.06647590893975969,-0.10852678058241438,0.22449332044488995,-0.06892223081098396,-0.11015159098177153,-0.05955555490713917,-0.07160027370164292,0.19233331812944712,0.4761339493733478,0.4862880086930809,0.21221464056305708,-0.45216439206906345,-0.09514979466159813,-0.2810805149307706,-0.06698390196564419,0.19796676969111918,-0.028872430524652784
uc2,-0.8193583813706036,-0.09851858574490294,-0.22096377911214746,-0.42707098676783983,-0.290297989963791,-0.03757281783412563,-0.9149141387052394,-0.00486640672922332,-0.3077353697121188,-0.9718106415439184,0.013721952106628073,-0.3636086891903117,-0.36240080770777666,-0.3322729032802015,0.1076266261763817,0.2294961972266116,0.27475163580959255,0.7254254414471017,-0.10366065280013101,-0.14488409358942683,-0.08579843620131682,-1.0467768426069384,-0.4174900387546691,-0.17752589347201608
