Participant,Trailer,Type,NAcc_ISC,AIns_ISC,MPFC_ISC,NAcc_LH_ISC,AIns_LH_ISC,MPFC_LH_ISC,NAcc_DH_ISC,AIns_DH_ISC,MPFC_DH_ISC,NAcc_LC_ISC,AIns_LC_ISC,MPFC_LC_ISC,NAcc_DC_ISC,AIns_DC_ISC,MPFC_DC_ISC,NAcc_MPFC,AIns_MPFC,NAcc_AIns,NAcc_MPFC_ISFC,AIns_MPFC_ISFC,NAcc_AIns_ISFC,AIns_NAcc_ISFC,MPFC_NAcc_ISFC,MPFC_AIns_ISFC
sub-32,rc4,Comedy,0.39107862993148196,0.11506970591910888,0.10244984818020622,0.2978695103379583,0.03333166934157003,0.06768461472956862,0.36035310207863647,0.03845469576171481,0.07635759124263843,0.34537648944913196,0.03578411269250322,0.10074661570921681,0.35557866084114803,0.030839862284743183,0.03467003521263784,-0.22659630798748936,1.466385892120127,-0.30348548524521674,-0.05989717743686959,0.10114532848853766,0.0550299804714199,0.10369612623152638,0.05045916318313776,-0.004038859969116464
sub-32,rh4,Horror,-0.2796107337605014,0.3239415977788486,0.0293097604628816,-0.4101995245457553,0.21136918286331224,0.3646054565766684,-0.06218332010867919,0.15916234005689883,-0.24369524783640445,-0.07520709270768153,0.15643841355095334,-0.18115346038326313,-0.3673242851437551,0.22749894284808883,0.2561850211152087,-0.1787825025280318,0.3402520387212614,0.12169163833626359,-0.2956715636821445,0.48387048708990954,0.19799768717496155,-0.04907436138479402,-0.15863943866634025,0.05262737985266544
sub-32,uc2,Comedy,-0.04172661556430125,-0.1548307879727301,-0.09701873638873552,0.13319901451131924,-0.17913963350994205,0.29471432700453437,-0.06602442918079925,0.10668075984927515,-0.2310049086978915,0.036047032240948976,0.13857044328442383,-0.190499947215842,0.02308251325991042,-0.23329420601624268,0.28867423481629995,-0.052602651762410614,0.7827350434401116,0.11014795788527848,0.04002990250408576,0.061882217604781464,-0.361969220131738,-0.03956354915609519,0.053687959963422995,0.01082545074604438
sub-32,rh5,Horror,0.5499534019616438,-0.3022466978151182,-0.25516586888412596,0.23113135398675516,-0.12265778953891482,0.008130230594499802,0.1768187098017404,-0.28120690672198223,-0.3013812817969565,0.20270725714643525,-0.27909783264792887,-0.3563437312854592,0.17218725532092677,-0.1408896829267659,0.056527196402942445,-0.32288729462290966,0.5767130793822894,-0.7181823335676373,0.28129720735009933,-0.5522219696992803,0.379803186819182,-0.46683491977902797,-0.5181409966449897,0.06410157031242338
sub-32,rh8,Horror,0.2582071465004113,0.3155993617447313,-0.06667308908002742,0.1034423223184213,0.3837127355008008,0.10044561898400661,0.2350080616167575,0.18109142211743523,-0.10336774931460642,0.18925079256810573,0.23145526116864137,-0.08439159576696999,0.1458368392268744,0.39785667993607776,0.0863986313289029,0.17964179160096316,0.3166749836112202,-0.004145604274104578,0.2951128826840473,0.5556442350168821,-0.10923072719442005,0.3719904238134697,0.016615327229657383,0.38334314945615156
sub-32,rc10,Comedy,0.027497047593356035,0.2727726998502692,-0.01824340177865503,-0.2240377446693016,0.18930898722510747,0.2709994697559234,0.07955769993113149,0.39506615011041063,-0.2264567489142487,0.0330282127179506,0.3898105471275655,-0.1503786594779626,-0.18264277525375722,0.2185910974177223,0.16512643913330788,-0.02891262066698952,0.624494111837536,-0.1262117312833855,-0.2672392226891988,0.23613130315404435,-0.10282935392423079,0.09011954314395619,0.4565403849656806,0.33944971175770455
sub-32,uh3,Horror,0.018986870339612622,-0.49966796186184964,-0.4808322744554537,0.1669438723812632,-0.5309024583219156,-0.2469706530606829,-0.18259485737227796,-0.12160230223785364,-0.48476857050686883,-0.2826049822248438,-0.174955543510529,-0.44346139709392546,0.30983078616839804,-0.46646031343523636,-0.23512868434950235,0.08664051068919804,1.307381085813104,0.053994812135437345,-0.664283361033599,-0.5227288714094072,-0.4020694436270662,0.09433499443076383,0.09828857309659053,-0.2548307695840061
sub-32,rc7,Comedy,-0.10338920928429972,0.03172748809771074,-0.2665542249468204,-0.0530515874272763,0.01621528229875828,-0.6619398394179018,-0.07385658822034906,-0.02233141906664218,-0.1844511377731722,-0.06045990052551741,-0.12619762870329168,-0.27610275947786916,-0.08080507882481472,0.17194959201104204,-0.2615578940878367,0.4488557520321362,0.45320394101771044,0.208795764722053,-0.04899015544102199,0.0738985278080733,-0.19945718112544222,-0.0005970082422420279,-0.5937232845024246,-0.37069666754185304
sub-32,uh4,Horror,-0.5102592623101532,-0.08887251634275338,0.5145886548454808,-0.3797492733422032,0.2998690411315684,0.8830296990436488,-0.4052979294411878,-0.3526507528519668,-0.201944565856193,-0.5407313836588512,-0.4307493694538029,-0.29963534547451104,-0.3097867425229211,0.3352193266624177,0.9255136386427589,0.5823314197438305,0.980341115687935,0.8488770798162248,-0.07051154543574033,0.1021365993383241,-0.30471908490299726,-0.4396689302547791,-0.37254978723322574,0.034510886801856676
sub-33,rh6,Horror,-0.060107841504093415,0.42380797219262817,-0.20622475571384472,-0.05423855384168633,0.08016767049262652,-0.1467486166171841,0.10445929835200285,0.549809772410532,-0.21022788851535676,0.1448807338375221,0.5109732153305953,-0.05807654548940888,-0.08905972008811362,0.07665301330882254,-0.3128490848112279,0.26819073954470674,0.21217614702048465,-0.5666424019494815,-0.5628768494644719,0.2906082127052611,-0.6310577775181141,-0.09696898067977144,-0.3599661056788985,-0.11535971352315648
