Participant,Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score_scaled,NAcc_onset_z,AIns_onset_z,MPFC_onset_z,NAcc_middle_z,AIns_middle_z,MPFC_middle_z,NAcc_offset_z,AIns_offset_z,MPFC_offset_z,NAcc_whole,AIns_whole,MPFC_whole,NAcc_whole_z,AIns_whole_z,MPFC_whole_z,NAcc_pos_peak,AIns_pos_peak,MPFC_pos_peak,NAcc_neg_peak,AIns_neg_peak,MPFC_neg_peak,NAcc_slope_peak,AIns_slope_peak,MPFC_slope_peak,NAcc_slope_peak_avg,AIns_slope_peak_avg,MPFC_slope_peak_avg,NAcc_narrow_slope_peak,AIns_narrow_slope_peak,MPFC_narrow_slope_peak,NAcc_narrow_slope_peak_avg,AIns_narrow_slope_peak_avg,MPFC_narrow_slope_peak_avg,NAcc_delta_peak,AIns_delta_peak,MPFC_delta_peak,NAcc_delta_peak_avg,AIns_delta_peak_avg,MPFC_delta_peak_avg,NAcc_narrow_delta_peak,AIns_narrow_delta_peak,MPFC_narrow_delta_peak,NAcc_narrow_delta_peak_avg,AIns_narrow_delta_peak_avg,MPFC_narrow_delta_peak_avg,NAcc_ISC,AIns_ISC,MPFC_ISC
sub-01,rh3,Horror,468.0,498.0,30,2,2,2,0.11078447223810657,0.3508872805344775,0.10176864319553716,0.018720493081601064,-0.0913193017539772,0.04130797571420416,-0.2610000461386325,-0.4462680512997753,-0.5436280311349295,1.223103621511866,0.0,-0.1911099408612293,0.0,-0.3125,-0.16542962903495276,0.1138186393318132,-0.19996051512284102,-0.19965136450297677,-0.38603068838070104,0.2350262550749628,-0.49013232612676905,-0.8347189944432352,-0.8070776504863637,-0.04383169360630831,-0.062233357506425016,-0.1335171374083961,-0.28507110655489953,-0.3689770144973743,-0.257337303511414,0.3568033064215653,0.9214983131082592,1.038365301227135,-0.5905131482748877,-0.8397203215922235,-1.7185562873877274,0.0,0.0,0.9633094850436232,0.0,0.0,0.9633094850436232,0.12076651956120489,0.28138076546662133,0.7258053546785694,0.16920567366226824,0.3344290573775911,0.7170787494122055,0.0,0.0,0.27246491434171427,0.0,0.0,0.27246491434171427,0.005789082604117721,0.005269095869457739,0.0069898845215726705,0.007162201226907934,0.004736979072022983,0.009170559741123466,0.10721511932130122,0.22232887736768697,-0.022713753582099223
sub-01,rc11,Comedy,512.0,542.0,30,1,1,3,0.27797969240644554,0.4295155194346659,0.31434636106383146,-0.1590512563947064,-0.32528817564731255,-0.5190302582570616,-0.04294438597611512,-0.08061831510616933,-0.27893704339837855,0.611551810755933,0.0,-0.8026617516171624,0.0,-1.3125,0.05494538519161105,0.40570166327418666,0.058076618091349196,-0.5026562133748407,-0.7794655618270978,-0.870937099779097,-0.2705736338472434,-0.2118092941322313,-0.4460290014813005,0.025328016678541357,0.007869676227061343,-0.16120698019720292,-0.23942815401015757,-0.19519106422838078,-0.41962982772301605,0.6577058733182447,0.8782337369115667,0.68927757263581,-0.376493789337442,-0.8363977612781406,-1.006745063086609,0.0,0.12235573326866911,0.0,0.0,0.12235573326866911,0.0,0.3985052656025309,0.22611045931726725,0.3990619392374104,0.2710403241093481,0.17423309629296818,0.3990619392374104,0.0,0.0013932023802564265,0.0,0.0,0.0013932023802564265,0.0,0.006059019415350512,0.0029913618100744404,0.005789568021361703,0.005114955668900214,0.0021922820951654335,0.005789568021361703,-0.29127466749766706,0.13329140480966617,-0.14960543184185626
sub-01,uc1,Comedy,560.0,590.0,30,2,2,3,-0.10772150672739444,-0.21291852982209575,0.2782321010252604,0.0544877348862838,-0.24247829888140862,-0.41258276228313207,0.05079595103249858,0.22512064665592812,-0.3269112001448994,1.223103621511866,0.0,-0.1911099408612293,0.0,-0.3125,-0.27378672361023654,-0.3607849483269625,0.36732240927930426,0.038588594827494924,-0.35888605127727624,-0.4796501728806093,0.07398528507484131,0.21592943212706364,-0.7811451742078938,-0.0008126069362040208,-0.07675872734919209,-0.1537539538009237,-0.05373761456930008,-0.16791385582572507,-0.29782431260306624,0.2472434128228411,0.42157917580705,0.7960265201613577,-0.3716503754128012,-0.8453247496917526,-1.0929609283718027,0.0,0.0,0.0,0.0,0.0,0.0,0.034635691764573706,0.09448127541800971,-0.13004394738792235,0.18463970474345212,0.5261647506039987,-0.13004394738792235,0.0,0.0,0.0,0.0,0.0,0.0,0.0017765372642172127,0.0022411276656903057,-0.0019526629179854348,0.008456641098807047,0.014430885261023207,-0.0019526629179854348,-0.03826426478439697,0.2275802907254118,-0.3026579168237151
sub-01,rh11,Horror,608.0,638.0,30,1,3,1,-0.11444683421905595,0.16287086603163933,0.137151051624376,-0.19296501335313526,0.052472923244069526,-0.10969897255333183,-0.13092285560360684,0.14786559145620623,-0.0423176709193752,1.223103621511866,0.611551810755933,-0.1911099408612293,0.611551810755933,-1.3125,-0.49604928291827594,-0.005402439428693617,-0.053593937341995954,-0.008495856646283152,0.3373456400809297,0.10931589628265277,0.06411492778719285,0.13632896410509657,-0.021978347059491872,-0.14611156772526598,0.12106979357730502,-0.004955197282777014,-0.1468100705924554,0.1560907215857776,0.011247870627054988,0.7153659271152616,0.9461177541014476,0.6122254452883383,-0.7366219082685617,-0.4494501126955922,-0.6994562263480104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8972297912394775,0.48136564322473924,0.0,0.8972297912394775,0.48136564322473924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012336633437742824,0.00786255532058181,0.0,0.012336633437742824,0.00786255532058181,0.2932585988006046,0.30380761046445315,0.35579543570746686
sub-01,rc12,Comedy,656.0,686.0,30,3,2,4,-0.1479757445658637,0.10990993704356052,-0.3532764842590742,0.03705384054787854,-0.3463995563959356,0.29558654415576463,0.07748431999814025,0.0341677242563244,0.4488133820524272,1.5288795268898323,-0.3057759053779665,0.1146659645167371,-0.3057759053779665,0.6875,-0.7220272846000652,-0.343125445839914,-0.6575019160940465,0.1878529537264257,-0.7169814044885048,0.41288666552510894,0.7377966461647723,0.6539334563201594,1.2734756085277794,-0.011145861339948307,-0.06744063169868356,0.1303744806497059,0.0678741050970443,-0.13539113133608638,0.34295345265294724,0.4784619247739705,0.4260815972354011,1.4090288922966416,-0.6269677159640055,-0.5978088224043582,-0.59613173299192,0.0,0.0,0.1490785721265671,0.0,0.0,0.1466214865840722,0.27842456173217,0.45417058766668245,0.8890541285110892,0.27842456173217,0.4078371072566911,0.47506365582399646,0.0,0.0,0.009583218965002548,0.0,0.0,0.00245228168716363,0.007446396719081923,0.010659239699943266,0.00851082052358137,0.007446396719081923,0.013252830501068048,0.003908622387882692,-0.28940832397344074,-0.21633384005955572,0.3074867499256301
sub-01,rc5,Comedy,700.0,730.0,30,2,3,4,0.25783992603012956,-0.07706502867519635,0.4666372358693541,0.011560199493379919,-0.009186830448233717,-0.332248271346676,-0.059254957389572246,0.01088749371575532,-0.5662681855772391,1.5288795268898323,0.3057759053779665,0.1146659645167371,0.3057759053779665,-0.3125,1.2314260391899081,0.783625203818352,1.3515720939756215,-0.2585726016993729,-0.4714412738159647,-0.8719368367198038,0.19704293260233396,0.4547666914394557,-0.24838604591817282,0.07004838937797908,-0.025121455135891584,-0.14395974035152032,0.3899654566976231,0.25565020714728104,0.07708307044588167,0.5935513288437215,0.3313804752295938,1.264524555217434,-0.2882288446800207,-0.381569102286953,-1.0024939479170136,0.2987325564528372,0.014466867409358389,0.8524974191435489,0.04077238618073753,0.11757554537197386,0.5068032907601375,0.2987325564528372,0.41021733238154134,0.8524974191435489,0.2612348503581549,0.4414412594265701,0.5068032907601375,0.008077909634318335,-0.0013483122512102236,0.014288972955302577,-0.0029477216728608703,0.0015672562413914539,0.006780365470021508,0.008077909634318335,0.020388512252746623,0.014288972955302577,0.0059236877239098595,0.017387943675083846,0.006780365470021508,0.3450050817908622,0.5814977494544085,0.6747137160972497
sub-01,rc3,Comedy,12.0,42.0,30,3,2,4,0.08830355132688607,0.06394959899167363,0.18707901259849605,0.04114736314417233,-0.06970034410705819,0.2953305635577599,-0.10204664950738318,0.14549030655442122,-0.19247577816955513,1.309266733406124,-0.3463979249818893,-0.1049468289669708,-0.3463979249818892,0.4375,0.3448472554014738,0.31380522520958487,0.43338487095425704,-0.5004757881188374,-0.8146757361312338,-0.2424688622500884,0.11293632958744168,0.5626223981623791,-0.22643301072898464,0.009134754987891737,0.04657985381301222,0.09664459932890027,-0.01423073437664067,0.02058396241357682,-0.01183900067493872,0.6894524911801033,0.76745041661412,0.7775017835982759,-0.4991753743581894,-0.6435818199146485,-0.8481333200495562,-0.4742603480695482,-0.019874299432619993,0.2249600763844819,-0.06103795123245173,0.34197115331909866,0.19710807646778625,0.38492623472613374,0.43353285723114515,0.09165871214087451,0.38492623472613374,0.43353285723114515,0.1831820765094384,-0.022038924898196522,-0.001764045153798203,0.004437803293507636,-0.005199816287738188,0.008037609325319365,0.0031674208938186348,0.007363500722009957,0.005649001523040789,0.0015312785429260696,0.007363500722009957,0.005649001523040789,0.0025322296939741342,-0.2344575405595727,0.06994797585272618,0.5461655684938294
sub-01,rh12,Horror,60.0,90.0,30,3,4,1,-0.21632358763032408,-0.04719510901435086,-0.14907736312261188,-0.14589119502870754,-0.34766109352943647,-0.4508098127273583,0.08767307199942578,0.4094390993026004,0.16410403090085277,1.7907011376182416,0.135036479230228,0.3764875752451466,0.1350364792302281,0.4375,-0.20749422069601642,-0.0056769146166429476,-0.14846111417196667,-0.6110632435953485,-0.9709854723511302,-0.8584534589870125,0.4384101331371656,1.0192147682216128,0.36171937211637134,-0.09151390355320198,0.004860965586271054,-0.14526104831637246,-0.1267157770513997,0.014184127084613144,-0.21506506701420267,0.3038089829553089,1.0847304556330943,0.6234977126117914,-0.6437551848870677,-0.8021801530573776,-1.141596277371326,0.4374850003737149,0.6994669127898946,1.1307601969461636,0.25127034769128465,0.3188615890531583,0.5536101457604907,0.4374850003737149,0.6477276804595659,1.4186413344470576,0.5992465806193832,0.6477276804595659,0.7692744045535331,0.014400002136805484,0.021286124513898802,0.018135755337569445,0.009009749718726142,-0.020528997524201474,0.008739456175397271,0.014400002136805484,0.005971323816860335,0.026255481128327197,0.023321473288173116,0.005971323816860335,0.012688620676331164,-0.15521123024006503,0.4278334093411551,0.1858197019894022
sub-01,rc1,Comedy,108.0,138.0,30,2,2,3,0.19343774225750673,-0.1609101244246661,-0.14033058886606303,-0.013405965676039074,-0.10061633953082952,-0.20551612246500167,0.024210955224464224,0.24887615627077894,0.1957714166876984,1.0333226236747886,-0.0704538152505538,-0.3808909386983063,-0.0704538152505537,-0.5625,0.4456214888322303,-0.6629266517299943,-0.6350185724716977,0.35959596052239806,-0.007627224886377504,0.05311355623230869,0.6810748659645973,1.044361618035646,0.8578407708886793,0.06808091060197728,-0.0042167692282388735,-0.05002509821445544,0.4954307717730752,0.1246025804730914,0.0919785848830968,0.5900303248444747,0.3542488289360785,0.7233588129460091,-0.1863016932532681,-0.6898954403465152,-0.8788742847263271,0.3820723014071763,-0.027048907540258182,0.3055228907426926,0.37135222394431205,-0.052017577234588795,0.3055228907426926,0.3820723014071763,0.1300615076415632,0.09512920899723643,0.5116643647707938,0.1300615076415632,0.20032604986996452,0.006475468892346951,-0.001206531546211928,0.004223669986108216,0.008916455298209355,-0.002771816256021303,0.004223669986108216,0.006475468892346951,0.0036714731854493106,0.0022767120762524364,0.00988139356405333,0.0036714731854493106,0.003250191031180326,0.09554668655689982,-0.20910985152505285,-0.2026079064485568
sub-01,rh7,Horror,152.0,182.0,30,1,2,1,-0.15902919436946297,-0.24345812327776298,0.03395895332252989,-0.09777218462157791,0.003854272840673284,0.10167154187391066,-0.030399047509024425,-0.08035830609975077,0.30528792360132395,0.757378513943453,0.2054902944807818,-0.6568350484296419,0.2054902944807818,-1.5625,0.04829753293601465,-0.28207110118270523,0.3918818744456355,-0.07592965754854278,0.1842614777329988,0.20370138700450294,0.02097626184786914,-0.23985936269990482,0.37488012251381725,-0.09573347550002177,-0.10665405217894683,0.1469728062659215,-0.0022186209215529977,-0.11255632871653706,0.323487794654652,0.3774728138545903,0.5555413541710821,1.0950933074391371,-0.5386462484564258,-1.1131588133813213,-0.6304031739666434,0.3443777596550843,0.0,0.7947525749677405,0.3443777596550843,0.0,0.7279155893119547,0.1215953403519953,1.0784640770489808,0.9570560202285936,0.25594231279778246,0.9048473234402575,0.8090673119423812,0.009123246682017878,0.0,0.013473916736437046,0.009123246682017878,0.0,0.009755324927329789,0.006376874454534551,0.019412849627695974,0.013235080787519393,0.009421070181440847,0.022324749734139435,0.009635906952870962,0.31207370209892177,0.07953990630578492,0.12719496004324066
