Trailer,NAcc_GLM_long,AIns_GLM_long,vmPFC_GLM_long,NAcc_GLM_seg1,AIns_GLM_seg1,vmPFC_GLM_seg1,NAcc_GLM_seg2,AIns_GLM_seg2,vmPFC_GLM_seg2,NAcc_GLM_seg3,AIns_GLM_seg3,vmPFC_GLM_seg3,NAcc_GLM_seg4,AIns_GLM_seg4,vmPFC_GLM_seg4,NAcc_GLM_seg5,AIns_GLM_seg5,vmPFC_GLM_seg5,Sim_Speer_AVG,Sim_Kragel_AVG,Sim_Zhou_AVG,Sim_Ceko_GNAS1_AVG,Sim_Ceko_GNAS2_AVG,Sim_Speer_seg1,Sim_Kragel_seg1,Sim_Zhou_seg1,Sim_Ceko_GNAS1_seg1,Sim_Ceko_GNAS2_seg1,Sim_Speer_seg5,Sim_Kragel_seg5,Sim_Zhou_seg5,Sim_Ceko_GNAS1_seg5,Sim_Ceko_GNAS2_seg5,Sim_Ceko_GNAS2,Participant
rh9,-0.04714178405319352,-0.10191307108136084,0.17499555753204168,0.8676768142564605,0.20138055464540994,1.2046097829643005,0.04039820936808954,0.24236360913010174,0.35924810169295457,-0.5593764082324522,0.09018289209440343,-0.10904184568159271,-0.46831189269408785,-0.5350438037759189,-0.6944133007384516,-0.6787549211204982,-0.16316037781556442,-1.4760424479575236,-0.033299934625123456,0.03770389441076306,0.037571182634477604,-0.005936275124148644,0.005456126717853788,-0.04938708754992052,0.06637269567423389,0.029178694436945415,-0.005919933779558524,0.008842300247144486,-0.019909856441726326,0.021012936887110954,0.00032098739291519605,0.015489493581016674,0.02374654009130888,,sub-01
rc4,-0.13683193371106733,0.0071158153387960695,-0.09566303923496779,0.33634775681049894,0.0507670823868813,0.39770660019302906,-0.1072243053543484,0.16888427008321008,0.32647080095148495,-0.2502602731024295,0.10265844402047496,-0.06152124000988203,-0.3755569594373638,-0.5025728974042576,-0.5906420733447016,-0.2729925181731401,-0.03806167965175428,-0.8901161243795889,0.02141065178893689,0.0017150570005470193,0.04862980628721619,-0.011907685622667731,,-0.026925664505039852,0.021629144913233627,0.011130393365611502,0.009659620814573748,0.007785022586318949,0.007016096399739628,0.0083697968097473,0.018356776588234824,0.024647931882728343,0.018679199000037432,-0.01465446399659962,sub-01
uh2,0.09943587288495709,-0.05922798834444813,0.33505251765182525,0.6998491168249257,0.23218095601059582,0.528891545394333,0.004641810915302211,0.025470151571678683,0.09789929193667142,-0.13007797122661324,-0.03319772039403507,-0.2779229562511183,-0.1453179887869755,-0.20090646689366773,0.7004394057481087,-0.33481119587628305,-0.04637026704695127,-0.7553784975668697,-0.037166143833382445,0.020113048588774152,0.027296198960028006,0.0005434271725600136,0.00925125871199898,-0.06101904290817763,0.06274780172814924,0.03327923258525299,0.0037677936467853095,0.011979663549825345,-0.05158081382274342,-0.02816151945707218,-0.02122748482304395,0.02231390583480117,0.030562208853603504,,sub-01
rh4,-0.006836542061152997,-0.04407196705177238,-0.009944371177507953,0.019437739796060786,-0.07171412742061396,-0.22045570424598504,0.030712806606163368,-0.2146903495598418,-0.16713525612562988,0.23838895690212547,-0.029828026515932277,0.5481846003726627,0.11877499939891303,-0.2648528366952219,0.6112844159017927,-0.3363135179005927,-0.1167178499949304,-0.9674209235171477,0.010875503345651977,-0.06360908094420407,0.025282900342439234,-0.0034458962402551647,,0.010603656964447204,-0.027428316959244907,0.006405825985711923,0.014434945040122542,-0.001233957741807361,-0.07630479672563666,-0.010110440997673432,-0.010873777465256047,0.019354146782982647,0.021635222460952987,-0.010156551062066565,sub-01
rc6,0.3526793772091755,0.03717510817358511,0.6655662959162679,0.44948571400204657,0.006457110793758165,0.6595909858815547,0.4068885040480717,0.23202358317200836,0.32682699301983226,0.38672524140399483,0.2354491171638361,0.39160048580856177,-0.023938361607791423,-0.15919556607752658,0.3536945070300215,-0.3205022869256177,-0.3049401320383529,-0.4081500150144102,-0.040716346025158216,0.029419195147291688,0.029426397525775118,-0.0015241785283379144,0.008936933076222252,-0.040632818331570286,0.040535628563762874,0.013773922227231263,0.020789008008870083,0.03404808566139349,0.004476424850554735,-0.0036732443702761656,-0.0005683303043341255,-0.005024077502515692,0.01592149226801947,,sub-01
uc2,0.040930859487459295,0.0885354469666318,0.15335133856766112,0.280715550742711,0.09343655390823873,0.06756961887272282,-0.02672130556197533,-0.05334747857517148,0.1773630470025546,0.02136200866163792,0.10374447970608851,-0.038798243162331915,-0.19012391458884662,-0.30805139285910493,0.24610868567642646,0.04834377502660991,0.26457748387334173,-0.11685039899177087,-0.004000772922131286,-0.005952215822082422,0.01200531692241064,-0.0038974129793559777,,-0.003035297477928519,-0.013469293023921263,0.01618330883087155,0.006401894799776438,-0.0018004218050807364,-0.03629827292757604,0.005759638161038718,0.009405849109815113,0.033015225035754804,0.03698070816312794,-0.011760304037818015,sub-01
rh3,0.5453667109045587,0.14369525042025363,1.0439923365617332,0.8878715195900465,0.35312860321654704,1.1245726155228843,0.7093556434407862,0.23816050964395943,1.1826799605746974,0.249784157939595,0.2428020579404762,0.4289140470107229,0.07072398939180267,-0.10978484654312679,0.7684232136745986,0.20898885979640844,-0.3019971276236399,0.2435732670066255,0.00909007035267614,0.02776627586807546,0.03339803758222265,0.005852602038046239,0.023025532453013427,0.013129596928054946,0.03302074052539126,0.04624522046444747,0.008970263021057643,0.035205420838379256,0.012762711437411464,-0.015103686545458402,-0.00267608499974298,0.008395269238489572,0.027239493293065555,,sub-01
rh5,-0.04142129615578827,0.04008433556921387,0.16633416530209974,0.07209840256245681,0.038123750155333334,0.2680054887233615,-0.30261968250527704,-0.11463367536125298,0.12425692328054642,-0.05850912164587283,0.15423124578033576,0.13013250492049247,0.10234238846574852,-0.19326973474877363,0.1824000456613948,-0.05946490481910946,-0.1344639110452084,-0.24748128906633196,0.03334212730475064,-0.02681212252628885,-0.0012719954820862942,0.008425675738138804,,0.02397831487342016,-0.03646618771399688,-0.009518389372852975,0.023423871171077193,0.013736690615062283,-0.01596319824951119,-0.010079837376723282,-0.004615921541830374,0.0089531723523724,0.020565447377170226,0.008313459804052483,sub-01
rc11,0.7110641303011985,-0.05229015082481342,1.0085663186149785,1.19980487124149,0.3043462095196612,1.421716835503129,0.751619680306005,0.07024274912206416,0.6702718163201958,0.3026953258146221,0.03829020426042669,0.9321222031230163,0.6102506423818869,-0.5075407542702538,1.0339662256930016,0.6987061502262057,-0.3385624086891987,-0.0033158011474602274,-0.0010806580421437867,0.01409086710155572,0.043435486801670295,0.008016787070489615,0.014942197286125058,-0.014795675452630393,0.029245216114900406,0.03752778381107352,0.005074531093521073,0.016848753638685827,0.03245599601674494,-0.04368041398552937,0.014522125688330001,0.030032422475652513,0.03254881442641842,,sub-01
rh8,0.011288475331246111,0.07333909844950527,0.09818422693370471,-0.11210278846370292,-0.005066701272471376,-0.376488813740325,-0.2748804345792882,-0.04755141161230774,0.2606185394268611,0.3708316165973887,-0.005253282611626403,0.23886829633952422,0.21413256203425907,-0.03448262710063888,-0.0008561643711918287,-0.2345084461147765,0.2676551388187099,-0.49463841631376587,0.006037864912563624,-0.03525511857894337,0.006195865567372616,0.03375634689371164,,-0.03822948272838987,-0.005750822710164487,0.029944624955841055,0.015768748359746274,-0.0014004802065415052,-0.01317273691751377,-0.01849845170588077,-0.008613679962015234,0.0461499709789,0.032901759042767174,0.003715251466555945,sub-01
