Participant,Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset
sub-01,rh5,Horror,476.0,506.0,30,3,1,4,0.14533547124840038,-0.03323903028374245,0.3663261934593237,0.06172867968583125,0.01930219586749658,0.23577557438822927,0.255106593304523,0.04314884495803369,0.19230368302451478
sub-01,rh8,Horror,520.0,550.0,30,4,1,4,0.1974521934276903,0.05634743497422744,0.24400950408928995,0.30936449201761823,-0.5434137190448557,0.3263719266300657,0.6248155989726805,0.24366973370209227,1.1474155735005394
sub-01,rc10,Comedy,568.0,598.0,30,1,1,1,-0.3937341942466348,0.06799375527977176,-0.3309751038600891,-0.4805123242025443,-0.46590196648058246,-1.0586301376994973,0.05439579929750369,0.041515311747685725,0.06683381434058486
sub-01,uh3,Horror,616.0,646.0,30,1,1,4,-0.5354241919105485,-0.3693479267926282,-0.2677728798585689,0.12080711703275784,0.2130355552778659,0.34575042153766294,0.1629843998615908,0.14947175355240677,-0.2606594418403184
sub-01,rc7,Comedy,660.0,690.0,30,3,4,1,-0.03178698188704121,-0.11875211128355845,-0.22352725165162757,0.3217792240607394,0.14410622457211647,0.632207400426039,0.2020567119546616,0.02802666744227319,0.2971040766603216
sub-01,uh4,Horror,704.0,734.0,30,2,2,4,0.01313478255730156,-0.34159659331338277,0.09705455427127174,-0.21204570363841432,-0.1231227214225669,-0.5361491565789336,-0.041235737342863454,0.319998143426539,0.16764297567319822
sub-02,rh6,Horror,12.0,42.0,30,4,3,4,0.21166863806026837,0.14464822501275656,0.533807326696126,0.03052781517860766,0.05387209171292327,-0.015611683436297832,0.04774846361162434,-0.20293604838700713,-0.2684610848050298
sub-02,uh1,Horror,60.0,90.0,30,3,2,3,-0.1098688253742602,-0.07720803649911198,-0.1735444306425301,-0.28062927757595924,-0.39622110314382275,-0.744828993005018,-0.03665017730517973,-0.010681328623936231,-0.2608186733920104
sub-02,rc2,Comedy,108.0,138.0,30,3,3,1,-0.20981763817245774,-0.14436038871457127,0.10224240449997177,-0.12814141035107768,-0.12577720154136368,-0.136159384532234,-0.2031412337971541,-0.16028733197688644,-0.17880605768440877
sub-02,rh2,Horror,152.0,182.0,30,3,2,3,0.25177638738062197,0.07189355900912878,0.5454998540922652,0.3503744635023816,0.3882094164454234,0.5302590531178696,-0.06215766130585049,-0.006789803346085621,-0.007520460064632922
sub-02,rh1,Horror,196.0,226.0,30,4,4,3,0.07908227984490665,-0.0029320394517874547,-0.05319910875931527,-0.09973480302325438,-0.10705965421174804,-0.3694117577974244,-0.22552174384320606,-0.29697168036709665,-0.25939913946508797
sub-02,rc9,Comedy,244.0,274.0,30,2,3,2,0.03207937096361892,0.10794547138562816,0.1721124973091964,-0.017836861830938744,-0.32465810441105863,-0.2935431960548096,-0.061037836290008494,-0.08059192636986867,-0.06583235795064264
sub-02,uc4,Comedy,288.0,318.0,30,3,3,1,-0.03207913780927614,-0.01255735393596916,0.4353909378892518,0.11850338091347408,0.009596935390308283,-0.07572700864613499,0.08207248790250332,-0.04819142344542761,0.46210600455688466
sub-02,rh9,Horror,332.0,362.0,30,3,4,2,0.33919511751547515,0.32647515626639073,0.1508186507758389,-0.05869224625487832,-0.06751973869413742,0.02996129579049108,-0.0887855441503291,-0.1585907643205155,0.09609138629552463
sub-02,uh2,Horror,376.0,406.0,30,4,4,3,-0.02683810142468058,0.1403821641561303,-0.09246473566745898,-0.07058131366056666,-0.004271397555356956,-0.09534396049223176,-0.0004225265651377208,-0.07281076501937474,-0.22964315068767932
sub-02,rc6,Comedy,420.0,450.0,30,2,3,2,-0.07590251238371394,0.04172573891323643,-0.11174628372650781,-0.06810786420514611,-0.16733442762877454,-0.3469830852574119,-0.17803113807755663,-0.17056166718625282,0.05793441070060691
sub-02,rh3,Horror,468.0,498.0,30,3,4,2,-0.03818387947909218,0.283159008640972,0.2651183644893653,-0.0165988822731346,-0.18343568365145957,-0.08517579631570919,0.06999196284611593,-0.21460966020444133,0.4981067365707588
