Trailer,Type,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score,W_score_scaled,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,NAcc_onset_z,AIns_onset_z,MPFC_onset_z,NAcc_middle_z,AIns_middle_z,MPFC_middle_z,NAcc_offset_z,AIns_offset_z,MPFC_offset_z,NAcc_whole,AIns_whole,MPFC_whole,NAcc_whole_z,AIns_whole_z,MPFC_whole_z,NAcc_ISC,AIns_ISC,MPFC_ISC,index,number,title,Domestic Gross,Worldwide Gross,Domestic Openning,Theaters Num,Avg Domestic Opening,Openning_US_C_IMDb,Gross_US_C_IMDb,Gross_W_IMDb,Gross_US_W1_num,Theaters_US_W1_num,Gross_US_W2_num,Theaters_US_W2_num,Gross_US_W3_num,Theaters_US_W3_num,Gross_US_W4_num,Theaters_US_W4_num,Gross_Total_US,Total_Theaters_US,Total_weeks,Weeks_avg_per_theater,Gross_World_num,Gross_US_M1,Theaters_US_M1,GrossOverTheaters_W1,GrossOverTheaters_M1,Broad_rank_W1,Broad_rank_M1,Narrow_rank_W1,Narrow_rank_M1
rc9,comedy,1.5700774713103605,-0.2356345666406726,0.1558639089372654,-0.2356345666406726,2.413793103448276,0.1077586206896551,-0.0126348395151756,-0.0191380386623645,0.0675304532590098,0.0313210715992055,-0.0975379209269647,-0.0334699806155999,-0.0233748838469027,-0.0163973106672111,0.0657876993013054,-0.0566116787939299,-0.0812891888026376,0.2577028159448851,0.3295643913442044,-0.1247832226201843,0.0885864609499854,-0.1045113820097268,-0.104374842836973,0.1688388157866607,-0.0015628839209576,-0.0443577567521801,0.0332827239815717,0.0561471101801825,-0.1034824180865983,0.1717093642271771,0.0580218566976738,0.0763168268146722,0.0840352648181207,11,12,House Party,9002247.0,9204731,1409486.0,1400.0,1007.0,3985882.0,9002247.0,9285747.0,5410508.0,1400.0,7640509.0,1400.0,8590596.0,1047.0,8842868.0,368.0,9011251.0,4383.0,6.0,3.0,9213735.0,8842868.0,4215.0,3864.6485714285714,2097.9520759193356,15.0,9.0,10.0,6.0
rh1,horror,1.380634478477818,0.3665316395003706,-0.0335790838952769,0.3665316395003706,2.655172413793104,0.3491379310344827,-0.0495775842772843,0.0546476593892287,0.1024087154540082,-0.0055443029043404,-0.071675583012998,-0.1054508793112644,-0.0477116936591741,-0.0305895543455188,-0.0004635014356325,-0.3049184759922052,0.0859348609152342,0.247186923227976,0.1658521260300224,-0.1198681452364302,-0.2143254861382322,-0.0325670070295183,0.0344525243461733,0.1145790166180141,-0.0342778602802663,-0.0158724926564293,-0.0011685550976295,-0.0572111189972337,0.0001730800083257,0.0491468179025859,0.110199585612353,0.1041514519281625,0.1206800420446692,30,31,The Exorcist: Believer,54300915.0,107689915,11826255.0,3663.0,3229.0,26497600.0,65537395.0,136265132.0,33926950.0,3663.0,48601950.0,3684.0,56265830.0,3323.0,61004670.0,2717.0,65537395.0,17512.0,8.0,5.0,136966457.0,61004670.0,13387.0,9262.066612066612,4557.0082916262045,21.0,21.0,9.0,9.0
rh10,horror,1.3012758922182628,0.3464897411826984,-0.1129376701548321,0.3464897411826984,1.6666666666666667,-0.5625,-0.0269030675622123,0.0353092718626164,-0.0574165757750224,-0.0194858961462894,-0.0189407247165944,0.1104460304721867,-0.0448239021216569,-0.0947108229095787,-0.0793155588046957,0.0314707085101369,0.219454196297112,-0.1455562933445191,-0.0268039604397597,0.0006079643512763,0.3067460951847288,0.240627843040221,0.1234327605992476,0.0590710794835575,-0.0304042886100529,-0.0261140919211856,-0.0087620347025104,0.0817648637035327,0.1144983070825453,0.073420293774589,-0.0077595522891799,0.2751979967325541,0.2180852939399893,49,50,The Pope’s Exorcist,20009380.0,72913467,3465715.0,3178.0,1091.0,9006368.0,20009380.0,76987621.0,11623718.0,3178.0,16251707.0,3178.0,18575816.0,1950.0,19164828.0,606.0,20009380.0,9715.0,11.0,3.0,72913467.0,19164828.0,8912.0,3657.5575833857774,2150.45197486535,13.0,11.0,5.0,4.0
rh11,horror,1.396737269698164,0.5666153387385839,-0.0174762926749308,0.5666153387385839,2.107142857142857,-0.21875,0.0231930121037844,-0.0506415647838545,0.0603742491625947,0.0125658781352898,0.022991796052332,-0.0083441997499973,0.0270193046463171,0.1082638864521629,0.0053558481994541,0.1374764257485765,-0.1628065671952817,0.1847444870084571,0.1856943682218847,0.2318859689215918,0.1256443677204561,-0.22990545025238,0.0571548032795172,-0.2645565972059853,0.020926064961797,0.0268713725735468,0.0191286325373505,0.0310884479060271,0.0420780683352757,0.0152774191743093,-0.0016639438043147,0.1415755788671073,0.2342321867039132,50,51,Men,7587853.0,10287063,1419333.0,2212.0,642.0,3293030.0,7587853.0,11152071.0,4743092.0,2212.0,6767294.0,2196.0,7424100.0,991.0,7552329.0,216.0,7587853.0,5683.0,5.0,3.0,10287063.0,7552329.0,5615.0,2144.254972875226,1345.027426536064,4.0,2.0,2.0,1.0
rh12,horror,1.3346120706463775,0.4858631785980037,-0.0796014917267173,0.4858631785980037,1.9642857142857144,-0.2767857142857143,0.0534429019949346,-0.0011954160132637,0.0690248846293928,-0.0110832910678864,0.0678437336413023,-0.0874016565510486,0.0282952919440795,0.1632416172536776,0.0710203127435317,0.0877157506361985,-0.070070173550446,0.107991635935854,-0.1069601327958506,0.1662541730587665,-0.345817605479236,-0.3178981029738722,0.1547238352499504,-0.1146928786066401,0.0235516342903759,0.0766299782939053,0.0175478469406252,-0.1123808283778414,0.0836359449194236,-0.117506282716674,0.1115300208564911,0.0607670482291159,0.1740588697476806,54,55,Scream,81641405.0,138874789,13383642.0,3664.0,3653.0,30018805.0,81641405.0,137743924.0,38947929.0,3664.0,54788780.0,3666.0,64209744.0,3518.0,70341632.0,3227.0,81641405.0,22305.0,11.0,6.0,138874789.0,70341632.0,14075.0,10629.893286026201,4997.6292717584365,24.0,24.0,11.0,11.0
rh2,horror,1.3763736949432934,0.1983263386307078,-0.0378398674298015,0.1983263386307077,2.413793103448276,0.1077586206896551,0.0464397016505268,0.0457398351515295,0.2164114795565235,-0.0115998330223618,-0.0185369984390689,-0.0344966080612475,-0.0336494113958967,-0.1170476993779752,0.0139690881523943,-0.0416189217805317,-0.0913574045647512,0.4782314436209335,-0.0784876521621193,-0.1278196698259354,-0.1625030403602808,0.1196380666185595,-0.1150325633887317,0.2674707346208,0.0003968190774227,-0.0299482875551715,0.0652946532158901,-0.0001561691080305,-0.1114032125931394,0.1943997126271509,0.0994267219180231,0.208298716659985,0.1549186902027204,31,32,Saw X,47254428.0,74852798,7965110.0,3262.0,2442.0,18309301.0,53607898.0,111822387.0,24404793.0,3262.0,35729120.0,3262.0,43649877.0,3058.0,48611927.0,2756.0,53607898.0,16729.0,7.0,5.0,109238490.0,48611927.0,12338.0,7481.542918454936,3940.016777435565,20.0,17.0,8.0,7.0
rh3,horror,1.2928879788654632,0.2437063007941933,-0.1213255835076316,0.2437063007941933,2.2142857142857144,-0.0982142857142857,0.0158697383304188,0.0740525972767593,0.1023085387117603,-0.0235235881411902,-0.1002056606555287,-0.0494490786575626,-0.0236517160823747,-0.0714674790946345,-0.0208564980185001,-0.1114372527809112,0.1439579626462141,0.1560544898053017,0.1185827001407702,-0.1387935848520479,-0.0032751281364374,0.1632031372747589,-0.0206942187163118,0.2317708784242855,-0.0104351886310487,-0.0325401808244679,0.0106676540118991,0.0567828615448726,-0.0051766136407152,0.1281834133643832,0.0025784996993704,0.2199574532127415,0.0289079711251317,33,34,Resident Evil: Welcome to Raccoon City,17000612.0,41909091,2505531.0,2803.0,894.0,5319280.0,17000612.0,41914915.0,3531339.0,2803.0,10518747.0,2803.0,14201944.0,2803.0,16452990.0,2572.0,17000612.0,11149.0,6.0,3.0,41909091.0,16452990.0,10981.0,1259.8426685693898,1498.3143611692924,1.0,4.0,1.0,2.0
rh4,horror,1.136174248852422,0.3342586727418126,-0.2780393135206728,0.3342586727418126,1.6785714285714286,-0.5625,-0.0584689330440095,-0.0470970179752519,-0.0686949463861805,0.0144263379102922,-0.0628448343031058,-0.0280504752601726,0.0271838064289187,0.1142822488080563,-0.0827344851537323,-0.0480418943824745,0.0457944479464944,-0.0848037979319064,0.0033002836573787,-0.2229400987665149,-0.038680924422257,-0.0109267388872164,0.3235535436546132,-0.3271778595211337,-0.0056195962349328,0.0014467988432328,-0.0598266356000284,-0.0185561165374374,0.0488026309448642,-0.150220860625099,0.0284658571588091,0.2009913897643981,0.2105719001741609,34,35,Insidious: The Red Door ,85301636.0,263401636,15203849.0,3188.0,4769.0,33013036.0,82156962.0,189086877.0,45085554.0,3188.0,64501673.0,3188.0,74906584.0,2554.0,79530087.0,1914.0,82156962.0,12465.0,10.0,4.0,186258928.0,79530087.0,10844.0,14142.26913425345,7334.0176134267795,27.0,28.0,13.0,13.0
rh5,horror,1.1791872323973356,0.1529201712297515,-0.2350263299757592,0.1529201712297515,1.75,-0.4910714285714285,-0.0111915148381684,0.0515347242644156,0.0243018821779107,0.0100850465127026,0.0700894218844045,-0.0880810729969146,-0.0677660590994859,0.0026744005539004,-0.1647625415393221,-0.0402584335155217,0.190086576732638,0.0622310704391449,0.2188220533133948,0.4180555062714126,-0.1308123742877421,-0.0626232304415576,0.2405995254115218,-0.3200390787195816,-0.0229575091416506,0.0414328489009068,-0.0761805774527753,0.0386467964521051,0.2829138694718575,-0.1295401275227262,0.0310128623187031,-0.0491568558413924,0.0922592906772579,36,37,Talk to Me ,82156962.0,186258928,4197960.0,2340.0,1794.0,10431720.0,48299436.0,92039206.0,15862780.0,2340.0,26204909.0,2370.0,34208710.0,2379.0,38977888.0,2379.0,48299436.0,14166.0,13.0,6.0,92181818.0,38977888.0,9468.0,6778.965811965812,4116.802703844529,18.0,18.0,7.0,8.0
rh6,horror,1.2669910086192069,0.0981002366648104,-0.147222553753888,0.0981002366648104,2.0,-0.3147321428571428,0.0270857047984506,-0.0018038635872738,-0.0122707434805819,-0.0398356803206241,-0.0225718314175812,-0.0770940921556007,-0.0511684981677182,-0.0574290535623306,-0.0125313942190343,-0.0393115302517395,-0.1011626607196195,-0.113384571113856,0.0560262941052306,0.1014774349482063,-0.1542296303382682,0.1296598352247678,0.120556777596129,0.2421122856986396,-0.0213061578966305,-0.0272682495223952,-0.033965409951739,0.0487915330260863,0.0402905172749052,-0.0085006385844948,0.0362303007629178,-0.1781972186415092,0.0394173269845576,38,39,M3gan,95043350.0,181013217,11726555.0,3509.0,3342.0,30429860.0,95159005.0,180089109.0,38533510.0,3509.0,63487510.0,3605.0,75903725.0,3628.0,83797375.0,3416.0,95159005.0,22218.0,10.0,6.0,181134416.0,83797375.0,14158.0,10981.336563123397,5918.729693459528,25.0,26.0,12.0,12.0
