,Trailer,Type,Onset,Offset,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score,W_score_scaled,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,NAcc_onset_z,AIns_onset_z,MPFC_onset_z,NAcc_middle_z,AIns_middle_z,MPFC_middle_z,NAcc_offset_z,AIns_offset_z,MPFC_offset_z,NAcc_whole,AIns_whole,MPFC_whole,NAcc_whole_z,AIns_whole_z,MPFC_whole_z,NAcc_pos_peak,AIns_pos_peak,MPFC_pos_peak,NAcc_neg_peak,AIns_neg_peak,MPFC_neg_peak,NAcc_slope_peak,AIns_slope_peak,MPFC_slope_peak,NAcc_slope_peak_avg,AIns_slope_peak_avg,MPFC_slope_peak_avg,NAcc_narrow_slope_peak,AIns_narrow_slope_peak,MPFC_narrow_slope_peak,NAcc_narrow_slope_peak_avg,AIns_narrow_slope_peak_avg,MPFC_narrow_slope_peak_avg,NAcc_delta_peak,AIns_delta_peak,MPFC_delta_peak,NAcc_delta_peak_avg,AIns_delta_peak_avg,MPFC_delta_peak_avg,NAcc_narrow_delta_peak,AIns_narrow_delta_peak,MPFC_narrow_delta_peak,NAcc_narrow_delta_peak_avg,AIns_narrow_delta_peak_avg,MPFC_narrow_delta_peak_avg,NAcc_ISC,AIns_ISC,MPFC_ISC
10,rc8,comedy,200.0,230.0,1.3001122588943592,-0.17396913585469928,-0.11410130347873568,-0.17396913585469928,2.2962962962962963,0.05555555555555555,-0.007975588863075075,-0.053679218962158,0.058542473752235674,-0.034251953122364676,-0.026841444440688617,-0.04212167047826731,0.07212543287096383,0.08777688170102511,0.07297769187649746,0.027700854225381134,-0.06281786781949131,0.022785007421776943,0.011858160880226797,0.02940795931820666,0.004990220847258313,-0.13616953333491563,-0.09600760581660592,-0.1747688924980886,0.00996596362850802,0.0024187394327261635,0.029799498383488613,-0.03220350607643591,-0.04313917143929684,-0.048997888076351116,0.46488564403911375,0.48299483181475,0.6441130976443306,-0.39986336155241303,-0.4779797255149967,-0.5279094260924262,0.008824847730090336,0.08516682378172316,0.1657455132301838,0.03397273045510635,0.10778849602207803,0.15080104679177056,0.36760171800085756,0.3947802078058506,0.6344382438224179,0.2963420950089803,0.3553552083405204,0.4876738663582434,0.005422697639975627,-0.0022674898474116904,0.010572188737528217,0.002960766908496335,-0.0007544945205060087,0.007399433113532328,0.010869243948929744,0.012177545531295839,0.015194892320910258,0.009085686288934839,0.010399485646345732,0.008764108501634916,0.12436301392917472,0.09746327232602094,0.19665905941098002
11,rc9,comedy,244.0,274.0,1.3913516494443852,-0.09006227317209999,-0.022861912928709573,-0.09006227317209999,2.392857142857143,0.078125,0.012025356594688634,-0.024616564867652253,0.11111124020827111,0.009701970285613443,-0.07476506096338799,-0.057090372985912734,0.00086174137835972,-0.027061564266557887,0.05865888697154832,0.21690529547752654,0.22027557795572789,0.30304172105007915,0.12448133971780474,0.03308244486101798,0.052985289547300245,-0.0679685964449218,-0.09206788987414503,0.029824843597508588,0.007529689419553927,-0.04214773003253271,0.037559918064635565,0.09113934625013645,0.05376337764753363,0.1286172847316293,0.46197550804651677,0.4288304170425787,0.7762802197267258,-0.37374837500097424,-0.5338447847373946,-0.6658837075844174,0.06776112200057609,0.17199253595097816,0.21237812550760313,0.059605646708779776,0.16575064618700863,0.24662455588278237,0.36314410346907755,0.40873687370900563,0.5518795820096999,0.3444806585854259,0.35980944955655075,0.4884160034817925,0.0043058003339589875,-0.006464507777255167,0.006850987286015772,0.01451622790936291,-0.011482398426905646,0.017473406250074788,0.009523949586390574,0.014330199184492316,0.00929014670935636,0.008346591415422353,0.011729858834447061,0.008085246143099873,0.088807426173346,0.09252782885354628,0.10181044723157122
12,rh1,horror,196.0,226.0,1.713428531810831,0.06919897490709091,0.29921496943773623,0.06919897490709091,2.7142857142857144,0.39955357142857145,-0.03419789842321057,0.010824010569351226,0.08101885064064152,-0.0329092525583015,-0.0830927124557013,-0.11229604509387407,-0.02894559137137578,-0.04948585821386613,-0.0014398380437468602,0.10838802091839468,0.15426934980142756,0.2552914535994616,0.07885201336380776,0.027392939524904788,-0.003377073700304067,-0.1003772555582365,-0.056421085061089636,-0.03981925409694337,-0.032017580784295945,-0.040584853366738734,-0.010905677498993146,0.02895425957465531,0.04174706808841423,0.07069837526740473,0.4161721391150782,0.45528461185282204,0.6977576073370644,-0.43701762223850454,-0.5103779936832289,-0.6694951759117458,0.02108708231605272,0.06738118935520974,0.17946465660627484,-0.009569422122621917,0.08997875952795198,0.19619030968301818,0.36283929884393956,0.2703533116800381,0.4684689774773159,0.2682019817059972,0.2671421762558142,0.3395765035506781,-0.005617263153742718,-0.004213888345734037,0.009977044973454283,0.0033155069484167065,0.0685451990373073,0.010986129258744787,0.011252215145738648,0.010538835778346958,0.010128456695130853,0.008653855785493653,0.008859377583741867,0.007268142995045889,0.12292502367925362,0.17985325970221494,0.14916273454223022
13,rh10,horror,288.0,318.0,1.3111386330193522,0.3096442500333008,-0.10307492935374273,0.3096442500333008,1.6296296296296295,-0.6111111111111112,-0.014132648673180377,0.07103565579066139,-0.09706059008592735,-0.034936648255792395,-0.07326182452185534,0.1512022326295984,-0.024423494277088943,-0.05696530679540074,-0.09729139682182783,-0.09164162350865075,0.02544317605320046,-0.17507007412412356,-0.14896579005200253,-0.20367526735601474,0.07653229630208716,-0.22980456997399004,-0.34683125194624087,-0.36106804285482547,-0.02449759706868724,-0.01973049184219823,-0.014383251426052259,-0.15680399451154775,-0.1750211144163517,-0.15320194022562064,0.4165896369388804,0.46672369744011966,0.7684321121149887,-0.43558475582602096,-0.5170269069288641,-0.78551564323298,0.04034712585660437,0.09812095876819991,0.25094446215267835,0.016001316319976082,0.09201046441709487,0.18464007210578223,0.319613631830213,0.44135330784383864,0.6727577157028279,0.29059441155148996,0.3545682166227562,0.46804277386684856,-0.0004276288420089932,-0.05887983118812457,0.00590237745875705,-0.0034958636774470534,-0.058530530292268165,0.0005453055710973721,0.01200153104309821,0.012372745025559358,0.012619472617896811,0.05137456796517289,0.009394969176615867,0.00846743505569068,-0.007672607141102488,0.2622892079542377,0.16660223775174487
14,rh11,horror,608.0,638.0,1.6772457148289193,0.4130974992086781,0.2630321524558243,0.41309749920867805,2.107142857142857,-0.20758928571428573,-0.01504150191508235,-0.08773996790332798,0.0192474915836131,0.020660022178009173,0.04578836498958627,-0.017082953674192446,0.02345739012526662,0.13246052449007556,-0.02562026466911418,0.04886234204288773,-0.08018345976830019,0.17028240190323568,0.08336338269842665,0.19391972302276855,0.08514421487415695,0.07255012059730971,0.24063919183093016,-0.013465739566093928,0.009691970129397817,0.030169640525444612,-0.007818575586564507,0.0682586151128747,0.11812515169513285,0.08065362573709958,0.44305206225512356,0.525091435707309,0.6225807906322812,-0.43984964926304765,-0.48791299397981336,-0.7052011455120292,0.09629518585222532,0.14440740656803183,0.23683535536632006,0.056043526625922366,0.12314464592855952,0.21869175970073346,0.3754172094397877,0.4808345051112375,0.49171101761079,0.30152695221122633,0.3535424371588146,0.3542015589986106,0.043715887415595886,0.004613149635902776,0.00588562986295624,0.02287674572455491,0.0043316333535587505,0.00015938080870425597,0.01212158592068266,0.011436822016814185,0.010029380743699062,0.009777674861705466,0.008444108564378635,0.007232856912526468,-0.07227146694777505,0.12708509991325595,0.2333783001106057
15,rh12,horror,60.0,90.0,1.5531529827897546,0.3085581356419538,0.13893942041665983,0.3085581356419538,2.0,-0.24074074074074073,0.06016056293550582,0.005985568925872053,0.03742032894869265,-0.035310560046889004,0.09910468511404158,-0.056073281687610735,0.04028000922985368,0.17445349558338558,0.054106368408552756,0.6395295911128309,0.5428211967055785,0.5294999070533014,0.31696497971625126,0.5265835150764268,0.35399311319523574,0.2816514437857112,0.5342616906494976,0.47229869161497895,0.02171000403949017,0.09318124987443308,0.011817805223211554,0.4127153382049311,0.5345554674771676,0.45193057062117203,0.4587374739910422,0.5471899329221901,0.7257393070311716,-0.4156962739272353,-0.3557618954043897,-0.6669823078784374,0.2009302481166287,0.03787776138809341,0.1588028468761782,0.1230599439038149,0.05710626557024172,0.13666142210261392,0.3947668528411413,0.34876520877365214,0.4551055662991918,0.2886886203114035,0.32225210453266456,0.4278514914301679,0.007823773839395977,0.008389115383869147,-0.0014004936036637538,0.025324050513992964,0.005073304136458122,0.01814862902482816,0.011592251918956811,0.007946888202058234,0.009031540510852433,0.008610551914123531,0.0070706645578633475,0.00831592925521289,0.09972698779245935,-0.001594095475944022,0.13345134200852685
16,rh2,horror,152.0,182.0,1.5062590411607686,0.043868075762413083,0.09204547878767343,0.043868075762413083,2.4285714285714284,0.11383928571428571,0.07562137105276376,0.06534896771860069,0.2263460225417451,-0.03849853354013587,-0.05651818531419272,-0.03233858029104937,-0.0018303350753869272,-0.09674320703683251,-0.014855662332418224,0.2549615872579389,0.23167297995587707,0.42648407069245786,0.1370645480449937,0.08224507680514405,0.18305644792467993,-0.09745311076591841,-0.2861663842017124,-0.07514963347559359,0.011764167479080321,-0.029304141544141512,0.05971725997275917,0.09819100817900472,0.00925055751976957,0.1781302950471814,0.5068336963457575,0.4830609962177958,0.7817571702976382,-0.4523275999711415,-0.5336469015100336,-0.6393216679031929,0.08647564537513582,0.0953182722156389,0.11938612451859663,0.03918174602411116,0.06788355369089426,0.06506201118346626,0.3937083951391628,0.3854871435139641,0.4607730173096593,0.3035151069255934,0.2917964380331405,0.40229674092644946,0.00962141805946519,0.0027675147376362325,0.005412461936425579,0.00533459919838288,0.001953572254984092,1.818137975904445e-05,0.009316680858079523,0.009717712539545304,0.007570410934236612,0.007799414342133093,0.007694487547104172,0.006347418892181587,0.07837191576623327,0.21932485106979496,0.16883800759828846
17,rh3,horror,468.0,498.0,1.4519038134796691,0.11366628271309871,0.037690251106574285,0.11366628271309871,2.259259259259259,-0.0625,0.03285743328494188,0.03344417124824601,0.03367441445632643,-0.03955530342455442,-0.08403131348373104,-0.05332232529286869,-0.015440381382436173,-0.05225342974453766,-0.010671684148799218,0.05493513262767951,0.14336803325600778,0.1289239698662825,-0.05592411142182048,-0.14460887910960174,-0.05832862824626234,0.017318027395012044,-0.06783271194275368,0.01846668447413041,-0.0073794171740162355,-0.034280190660007565,-0.010106531661780487,0.0054430162002903956,-0.02302451926544922,0.029687342031383516,0.40491262816808804,0.4596839187861597,0.6168401446970093,-0.423596081857908,-0.5338363636930104,-0.6390252461886803,0.04305390477300182,0.06527255183519744,0.18149783759995475,0.03756513204507043,0.0376605853799416,0.18049257586202394,0.33127716926872813,0.3164239715028696,0.4890108064409324,0.2305582624579968,0.2820433246973848,0.40413764867986723,0.0035930716992304238,0.005583718571299167,0.011087190822133783,-0.004588829453615463,0.006784257428930401,0.003191331234095571,0.010997087551247297,0.00911180592870546,0.01034399860458668,0.008473086145922052,0.008355629934645567,0.00783076709465211,-0.004436384272444432,0.24086177716404047,-0.04266745823813437
18,rh4,horror,380.0,410.0,1.2660938597691571,0.23261040035869543,-0.1481197026039377,0.23261040035869543,1.7037037037037037,-0.5370370370370371,-0.04871523802439098,-0.05292122465104897,-0.08898983236779391,0.01589343131324197,-0.07548650586548734,-0.0174145641949251,0.023392880955735534,0.15830772411083502,-0.06797492966239539,0.07527037427565501,0.047344918678865464,-0.0005163756370500023,-0.022874502700517003,-0.11902733627143679,0.07834973216619805,0.08884866451111655,0.3166418140797254,0.0766405618825272,-0.003142975251804495,0.009966664531432903,-0.05812644207503813,0.04708151202875152,0.08165313216238469,0.05149130613722509,0.3975147712918112,0.5358146939356522,0.677357950628632,-0.40845985369784993,-0.4970152734834686,-0.8014930455133135,0.14042519754149843,0.20511938737758215,0.22323963217999707,0.07787416306356124,0.22091153979966832,0.17176013760171355,0.30023058257264745,0.41566240379972796,0.4617112180423053,0.2675428707533844,0.3246205214433227,0.45373044446068794,0.0103536274066408,0.0032219459770792412,0.011458956022859082,0.01333618108875289,0.003919783690651203,0.006127357441013236,0.012492619088037041,0.012631767026212352,0.01587097303463721,0.009927841181522077,0.008707470528579227,0.01586339780864847,0.031331386400454284,0.18213285320334546,0.18430353668385965
19,rh5,horror,476.0,506.0,1.1870261404707814,0.1420402943138612,-0.22718742190231364,0.1420402943138612,1.7037037037037037,-0.5370370370370371,-0.04514271835463278,0.037199330833945124,-0.040403063765169334,0.021209752568232258,0.0476238657046333,-0.11746927041266954,-0.06984619294283594,0.011507349681386059,-0.10562886490080767,0.18805253273961411,0.30237707636990785,0.18741132335350394,0.12875496129434383,0.15406202995836007,-0.05133266578388521,-0.04055303055535516,0.10685622551277196,-0.03607341948664973,-0.03125971957641215,0.032110182073321496,-0.0878337330262155,0.09208482115953426,0.18776511061367995,0.033335079360989686,0.42547940102652826,0.48452202542247214,0.6414462122439503,-0.4583901329445055,-0.40677156196919256,-0.8187082358545786,0.08247758887768407,0.1477316013623751,0.18352254045581842,0.08052511284004199,0.11375150506465681,0.18484435341716218,0.32666340743501965,0.3381295690544069,0.6245633313222798,0.2655593960044187,0.2835624765491222,0.5204306553465505,0.0021398251086165517,0.006686519484054605,-0.012227135586877295,0.003040839612675847,0.012591780777787396,-0.04640553997352737,0.010749745432794899,0.008867393040450755,0.011505756186163328,0.007924637948977898,0.007477797089223149,0.008626677989134903,0.03245212559501715,-0.03510045154314662,0.07428065172744186
